Nr;ID;Name;Age;Nationality;Club;Club Logo;Value;Wage;Preferred Foot;Position;Height;Weight
5482;164559;C. Wondolowski;35;United States;San Jose Earthquakes;https://cdn.sofifa.org/teams/2/light/111928.png;€825K;€4K;Right;ST;6'0;170lbs
5483;181199;M. Petržela;35;Czech Republic;Viktoria Plzeň;https://cdn.sofifa.org/teams/2/light/110468.png;€775K;€1K;Right;RM;5'8;143lbs
5484;181455;A. Cissokho;30;France;Antalyaspor;https://cdn.sofifa.org/teams/2/light/741.png;€1.3M;€9K;Left;LB;5'11;174lbs
5485;204496;P. Bauer;25;Germany;Charlton Athletic;https://cdn.sofifa.org/teams/2/light/89.png;€1.9M;€7K;Right;RCB;6'4;194lbs
5486;214480;J. López;29;Colombia;Independiente Santa Fe;https://cdn.sofifa.org/teams/2/light/101104.png;€1.4M;€3K;Right;RCB;6'4;176lbs
5487;201681;C. Quintero;29;Colombia;Atlético Bucaramanga;https://cdn.sofifa.org/teams/2/light/112992.png;€1.7M;€1K;Right;RM;6'2;163lbs
5488;140497;R. Wallace;33;Scotland;Fleetwood Town;https://cdn.sofifa.org/teams/2/light/112260.png;€1.1M;€6K;Left;RCM;5'6;141lbs
5489;214993;P. Alvarado;32;Argentina;Unión La Calera;https://cdn.sofifa.org/teams/2/light/112535.png;€1M;€2K;Right;RCB;5'11;176lbs
5490;224977;A. Micai;24;Italy;US Salernitana 1919;https://cdn.sofifa.org/teams/2/light/110373.png;€1.8M;€2K;Right;GK;6'1;170lbs
5491;227537;H. Veerman;27;Netherlands;FC St. Pauli;https://cdn.sofifa.org/teams/2/light/110329.png;€1.9M;€11K;Right;ST;6'7;198lbs
5492;200914;A. Salvi;30;Italy;Palermo;https://cdn.sofifa.org/teams/2/light/1843.png;€1.3M;€3K;Right;RB;6'0;168lbs
5493;209874;B. Khuzwayo;28;South Africa;Orlando Pirates;https://cdn.sofifa.org/teams/2/light/110930.png;€1.5M;€1K;Right;GK;6'3;165lbs
5494;214226;R. Loaiza;24;Colombia;Atlético Nacional;https://cdn.sofifa.org/teams/2/light/101100.png;€2.3M;€3K;Right;CDM;5'11;154lbs
5495;169938;Hugo Vieira;29;Portugal;Yokohama F. Marinos;https://cdn.sofifa.org/teams/2/light/101151.png;€1.8M;€5K;Right;ST;5'10;161lbs
5496;238802;P. Türpitz;26;Germany;1. FC Magdeburg;https://cdn.sofifa.org/teams/2/light/110588.png;€1.9M;€10K;Right;CAM;5'10;163lbs
5497;198611;N. Đurđić;32;Serbia;Hammarby IF;https://cdn.sofifa.org/teams/2/light/708.png;€1.4M;€5K;Right;ST;6'0;170lbs
5498;135891;K. Overmeire;32;Belgium;Sporting Lokeren;https://cdn.sofifa.org/teams/2/light/2007.png;€1M;€8K;Right;CDM;6'2;185lbs
5499;123603;H. Campagnaro;38;Argentina;Pescara;https://cdn.sofifa.org/teams/2/light/200.png;€240K;€2K;Right;LCB;5'11;187lbs
5500;191443;F. Mancinelli;36;Argentina;Club Atlético Huracán;https://cdn.sofifa.org/teams/2/light/111711.png;€240K;€6K;Right;LCB;5'11;176lbs
5501;212948;F. Ondoa;22;Cameroon;KV Oostende;https://cdn.sofifa.org/teams/2/light/682.png;€2.1M;€6K;Right;GK;6'1;198lbs
5502;222420;G. Ward;23;England;Ipswich Town;https://cdn.sofifa.org/teams/2/light/94.png;€2.4M;€6K;Right;RM;5'10;161lbs
5503;229332;Campillo;27;Spain;CD Lugo;https://cdn.sofifa.org/teams/2/light/110831.png;€1.9M;€6K;Right;LM;5'9;154lbs
5504;206549;E. Bush;32;United States;Montreal Impact;https://cdn.sofifa.org/teams/2/light/111139.png;€1M;€4K;Right;GK;6'1;183lbs
5505;209109;J. Silbeira;22;Paraguay;;https://cdn.sofifa.org/flags/58.png;€ 0;€ 0;Right;GK;6'1;201lbs
5506;189397;F. Jungwirth;29;Germany;San Jose Earthquakes;https://cdn.sofifa.org/teams/2/light/111928.png;€1.4M;€5K;Right;CB;5'11;176lbs
5507;220118;I. Bel Hassani;25;Morocco;AZ Alkmaar;https://cdn.sofifa.org/teams/2/light/1906.png;€2.2M;€8K;Left;CAM;5'9;159lbs
5508;193495;André Santos;29;Portugal;Os Belenenses;https://cdn.sofifa.org/teams/2/light/1889.png;€1.7M;€5K;Right;RCM;5'11;161lbs
5509;152536;B. Johnson;31;England;Derby County;https://cdn.sofifa.org/teams/2/light/91.png;€1.5M;€23K;Left;CM;5'10;150lbs
5510;219864;Cotán;22;Spain;Real Valladolid CF;https://cdn.sofifa.org/teams/2/light/462.png;€2.3M;€9K;Right;CDM;5'9;148lbs
5511;236505;Artur Jorge;23;Portugal;Vitória de Setúbal;https://cdn.sofifa.org/teams/2/light/665.png;€2M;€3K;Right;CB;6'1;176lbs
5512;238041;T. Malacia;18;Netherlands;Feyenoord;https://cdn.sofifa.org/teams/2/light/246.png;€2.2M;€3K;Left;LB;5'7;148lbs
5513;204506;M. van Buren;25;Netherlands;SK Slavia Praha;https://cdn.sofifa.org/teams/2/light/266.png;€2.3M;€1K;Left;ST;6'0;161lbs
5514;230362;Daguinho Parrela;34;Brazil;Internacional;https://cdn.sofifa.org/teams/2/light/1048.png;€500K;€13K;Right;RB;6'1;179lbs
5515;39386;D. Beasley;36;United States;Houston Dynamo;https://cdn.sofifa.org/teams/2/light/698.png;€200K;€3K;Left;LB;5'8;150lbs
5516;239322;C. Zimmermann;25;Germany;Norwich City;https://cdn.sofifa.org/teams/2/light/1792.png;€2M;€14K;Right;RCB;6'4;203lbs
5517;207835;Ademilson;24;Brazil;Gamba Osaka;https://cdn.sofifa.org/teams/2/light/112093.png;€2.5M;€7K;Right;RS;5'9;163lbs
5518;212955;Jorginho;27;Brazil;Al Qadisiyah;https://cdn.sofifa.org/teams/2/light/112391.png;€1.9M;€12K;Right;RM;6'0;143lbs
5519;155355;Lee Chung Yong;29;Korea Republic;VfL Bochum 1848;https://cdn.sofifa.org/teams/2/light/160.png;€1.7M;€11K;Right;CAM;5'11;150lbs
5520;234203;C. Eiting;20;Netherlands;Ajax;https://cdn.sofifa.org/teams/2/light/245.png;€2.7M;€7K;Left;CM;5'10;168lbs
5521;216284;F. Ballas;25;Germany;SG Dynamo Dresden;https://cdn.sofifa.org/teams/2/light/503.png;€1.9M;€10K;Right;CB;6'5;212lbs
5522;222428;J. Komar;21;Argentina;Club Atlético Talleres;https://cdn.sofifa.org/teams/2/light/112670.png;€2.5M;€6K;Right;RCB;6'2;181lbs
5523;234972;Y. Gomis;26;Senegal;Racing Club de Lens;https://cdn.sofifa.org/teams/2/light/64.png;€2.1M;€7K;Right;ST;5'11;168lbs
5524;237532;Rodrigo;25;Brazil;CD Aves;https://cdn.sofifa.org/teams/2/light/666.png;€1.9M;€6K;Right;RB;5'9;157lbs
5525;195036;S. Winnall;27;England;Sheffield Wednesday;https://cdn.sofifa.org/teams/2/light/1807.png;€1.9M;€17K;Right;ST;5'9;157lbs
5526;203741;T. Delaine;26;France;FC Metz;https://cdn.sofifa.org/teams/2/light/68.png;€1.8M;€4K;Left;LB;5'11;154lbs
5527;210653;L. Quintana;26;Mexico;U.N.A.M.;https://cdn.sofifa.org/teams/2/light/1881.png;€2M;€11K;Right;LCB;5'10;163lbs
5528;241629;Rogério;20;Brazil;Sassuolo;https://cdn.sofifa.org/teams/2/light/111974.png;€3.9M;€32K;Left;LM;5'10;154lbs
5529;177373;L. Nielsen;30;Denmark;Malmö FF;https://cdn.sofifa.org/teams/2/light/320.png;€1.3M;€4K;Right;RCB;6'1;163lbs
5530;195037;D. Batth;27;England;Middlesbrough;https://cdn.sofifa.org/teams/2/light/12.png;€1.7M;€30K;Right;CB;6'3;198lbs
5531;208862;J. Giraudon;26;France;ESTAC Troyes;https://cdn.sofifa.org/teams/2/light/294.png;€1.8M;€5K;Right;RDM;6'0;157lbs
5532;223966;Vítor Bruno;28;Portugal;CD Feirense;https://cdn.sofifa.org/teams/2/light/10019.png;€1.4M;€7K;Left;LB;5'7;143lbs
5533;232926;K. Watanabe;31;Japan;Gamba Osaka;https://cdn.sofifa.org/teams/2/light/112093.png;€1.6M;€8K;Right;LS;6'0;170lbs
5534;200671;V. Ulloa;26;Mexico;FC Dallas;https://cdn.sofifa.org/teams/2/light/695.png;€1.7M;€5K;Right;LDM;6'0;165lbs
5535;200672;Zhang Linpeng;29;China PR;Guangzhou Evergrande Taobao FC;https://cdn.sofifa.org/teams/2/light/111839.png;€1.4M;€10K;Right;LCB;6'1;172lbs
5536;208096;T. Eisfeld;25;Germany;VfL Bochum 1848;https://cdn.sofifa.org/teams/2/light/160.png;€2.2M;€10K;Right;CAM;5'10;168lbs
5537;220128;J. Cristaldo;29;Argentina;Racing Club;https://cdn.sofifa.org/teams/2/light/101085.png;€1.8M;€13K;Right;RS;5'9;161lbs
5538;230368;Bernardo Motinho;26;Brazil;Cruzeiro;https://cdn.sofifa.org/teams/2/light/568.png;€1.5M;€14K;Right;RB;5'10;163lbs
5539;206561;C. Walton;22;England;Wigan Athletic;https://cdn.sofifa.org/teams/2/light/1917.png;€2.2M;€15K;Left;GK;6'5;165lbs
5540;228321;Sergi Palencia;22;Spain;FC Girondins de Bordeaux;https://cdn.sofifa.org/teams/2/light/59.png;€2.2M;€47K;Right;RB;5'7;146lbs
5541;239841;V. Lampropoulos;28;Greece;AEK Athens;https://cdn.sofifa.org/teams/2/light/278.png;€1.4M;€1K;Right;CB;6'1;183lbs
5542;200930;L. Tremolada;26;Italy;Brescia;https://cdn.sofifa.org/teams/2/light/190.png;€2.1M;€3K;Left;CAM;6'1;172lbs
5543;201698;M. Pátkai;30;Hungary;;https://cdn.sofifa.org/flags/23.png;€ 0;€ 0;Right;CDM;5'8;141lbs
5544;219106;F. Al Ansari;31;Kuwait;Al Faisaly;https://cdn.sofifa.org/teams/2/light/112389.png;€1.2M;€13K;Right;LDM;6'5;161lbs
5545;172258;José Semedo;33;Portugal;Vitória de Setúbal;https://cdn.sofifa.org/teams/2/light/665.png;€725K;€4K;Right;LDM;6'0;170lbs
5546;239842;G. Giakoumakis;23;Greece;AEK Athens;https://cdn.sofifa.org/teams/2/light/278.png;€2.5M;€1K;Right;ST;6'1;190lbs
5547;193250;M. Leovac;29;Croatia;Dinamo Zagreb;https://cdn.sofifa.org/teams/2/light/211.png;€1.3M;€1K;Left;LB;5'11;157lbs
5548;215267;T. Figueroa;26;Argentina;Unión Española;https://cdn.sofifa.org/teams/2/light/110977.png;€2.2M;€10K;Right;ST;6'3;198lbs
5549;225507;Pol Llonch;25;Spain;Willem II;https://cdn.sofifa.org/teams/2/light/1907.png;€1.9M;€5K;Right;LCM;5'7;154lbs
5550;184035;B. Angulo;28;Colombia;Puebla FC;https://cdn.sofifa.org/teams/2/light/110152.png;€1.4M;€5K;Left;LWB;5'9;163lbs
5551;186595;E. Bennett;29;England;Blackburn Rovers;https://cdn.sofifa.org/teams/2/light/3.png;€1.7M;€24K;Right;RM;5'9;161lbs
5552;189923;C. Nhamoinesu;32;Zimbabwe;Sparta Praha;https://cdn.sofifa.org/teams/2/light/267.png;€975K;€1K;Left;LB;6'1;172lbs
5553;209892;B. Rabello;24;Chile;Lobos BUAP;https://cdn.sofifa.org/teams/2/light/111035.png;€2.4M;€5K;Right;LM;5'6;154lbs
5554;153060;J. Insaurralde;33;Argentina;Colo-Colo;https://cdn.sofifa.org/teams/2/light/110980.png;€725K;€5K;Left;LCB;6'2;192lbs
5555;198117;A. Bernardini;31;Italy;US Salernitana 1919;https://cdn.sofifa.org/teams/2/light/110373.png;€1.2M;€3K;Right;CB;6'3;161lbs
5556;206565;J. Walker;25;Scotland;Peterborough United;https://cdn.sofifa.org/teams/2/light/1938.png;€2.3M;€27K;Right;CAM;5'9;154lbs
5557;216549;A. Sørloth;22;Norway;Crystal Palace;https://cdn.sofifa.org/teams/2/light/1799.png;€2.5M;€25K;Left;ST;6'4;198lbs
5558;220901;David Raya;22;Spain;Blackburn Rovers;https://cdn.sofifa.org/teams/2/light/3.png;€1.8M;€14K;Right;GK;6'0;165lbs
5559;227557;M. Cassierra;21;Colombia;FC Groningen;https://cdn.sofifa.org/teams/2/light/1915.png;€2.7M;€8K;Right;ST;6'0;170lbs
5560;241637;A. Tchouaméni;18;France;FC Girondins de Bordeaux;https://cdn.sofifa.org/teams/2/light/59.png;€3.6M;€10K;Right;CM;6'1;168lbs
5561;227558;J. Siebatcheu;22;France;Stade Rennais FC;https://cdn.sofifa.org/teams/2/light/74.png;€2.5M;€16K;Right;ST;6'3;185lbs
5562;229606;V. Angban;21;Ivory Coast;FC Metz;https://cdn.sofifa.org/teams/2/light/68.png;€2.7M;€4K;Right;CM;5'11;165lbs
5563;229862;Edu Expósito;21;Spain;Deportivo de La Coruña;https://cdn.sofifa.org/teams/2/light/242.png;€3M;€5K;Right;RCM;5'10;148lbs
5564;236518;A. Nordin;20;France;AS Saint-Étienne;https://cdn.sofifa.org/teams/2/light/1819.png;€3.1M;€12K;Left;LM;5'7;146lbs
5565;198631;Rodri;28;Spain;Granada CF;https://cdn.sofifa.org/teams/2/light/110832.png;€1.8M;€7K;Right;ST;5'9;163lbs
5566;219879;M. Pisano;26;Argentina;Club Atlético Aldosivi;https://cdn.sofifa.org/teams/2/light/111707.png;€1.9M;€8K;Left;RW;5'5;134lbs
5567;163303;G. Whelan;34;Republic of Ireland;Aston Villa;https://cdn.sofifa.org/teams/2/light/2.png;€550K;€10K;Right;CDM;5'11;176lbs
5568;164839;M. Parkhurst;34;United States;Atlanta United;https://cdn.sofifa.org/teams/2/light/112885.png;€550K;€5K;Right;RCB;5'11;159lbs
5569;198632;J. Zárate;26;Mexico;Lobos BUAP;https://cdn.sofifa.org/teams/2/light/111035.png;€2.1M;€5K;Left;LM;5'6;137lbs
5570;172520;P. Kanstrup;29;Denmark;Aarhus GF;https://cdn.sofifa.org/teams/2/light/271.png;€1.4M;€8K;Right;RCB;6'2;179lbs
5571;189928;G. Scognamiglio;31;Italy;Pescara;https://cdn.sofifa.org/teams/2/light/200.png;€1.2M;€3K;Left;CB;6'1;172lbs
5572;224489;E. Ersoy;21;Turkey;Bursaspor;https://cdn.sofifa.org/teams/2/light/742.png;€2.5M;€7K;Right;CB;6'2;181lbs
5573;153066;L. Licht;37;Argentina;Gimnasia y Esgrima La Plata;https://cdn.sofifa.org/teams/2/light/101084.png;€200K;€6K;Left;LB;5'9;159lbs
5574;235754;Borja Herrera;25;Spain;CF Reus Deportiu;https://cdn.sofifa.org/teams/2/light/110854.png;€2M;€5K;Left;LB;5'9;154lbs
5575;236522;E. Brignola;18;Italy;Sassuolo;https://cdn.sofifa.org/teams/2/light/111974.png;€3.7M;€12K;Left;CAM;5'6;159lbs
5576;206571;M. Maddison;24;England;Peterborough United;https://cdn.sofifa.org/teams/2/light/1938.png;€2.3M;€6K;Left;RM;5'11;157lbs
5577;212459;M. Cavion;23;Italy;Ascoli;https://cdn.sofifa.org/teams/2/light/1847.png;€2.4M;€3K;Right;CM;5'11;163lbs
5578;221675;C. Mosquera;27;Colombia;Patriotas Boyacá FC;https://cdn.sofifa.org/teams/2/light/112527.png;€1.9M;€2K;Left;RM;5'5;146lbs
5579;226285;R. Gudiño;22;Mexico;Guadalajara;https://cdn.sofifa.org/teams/2/light/1880.png;€2.1M;€12K;Right;GK;6'5;185lbs
5580;226797;V. Malcorra;30;Argentina;U.N.A.M.;https://cdn.sofifa.org/teams/2/light/1881.png;€1.6M;€12K;Left;LDM;5'7;163lbs
5581;230382;Milton Menceiros;26;Brazil;Ceará Sporting Club;https://cdn.sofifa.org/teams/2/light/111059.png;€1.5M;€11K;Right;LCB;6'0;185lbs
5582;231150;Jamiro Monteiro;24;Cape Verde;FC Metz;https://cdn.sofifa.org/teams/2/light/68.png;€2.3M;€4K;Right;CM;5'9;159lbs
5583;169710;L. Bridcutt;29;Scotland;Nottingham Forest;https://cdn.sofifa.org/teams/2/light/14.png;€1.4M;€25K;Right;CDM;5'9;168lbs
5584;235502;Luisinho;27;Brazil;Al Faisaly;https://cdn.sofifa.org/teams/2/light/112389.png;€1.9M;€14K;Right;LM;5'9;148lbs
5585;241390;E. Elmas;18;FYR Macedonia;Fenerbahçe SK;https://cdn.sofifa.org/teams/2/light/326.png;€3.1M;€15K;Right;LDM;6'0;163lbs
5586;244206;N. Pérez;18;Argentina;Argentinos Juniors;https://cdn.sofifa.org/teams/2/light/111019.png;€3.3M;€9K;Right;CB;6'1;168lbs
5587;211440;D. Ndlovu;28;South Africa;;https://cdn.sofifa.org/flags/140.png;€ 0;€ 0;Left;ST;5'9;165lbs
5588;214000;Y. Reyna;24;Peru;Vancouver Whitecaps FC;https://cdn.sofifa.org/teams/2/light/101112.png;€2.4M;€5K;Right;CF;5'7;150lbs
5589;221168;D. Kownacki;21;Poland;Sampdoria;https://cdn.sofifa.org/teams/2/light/1837.png;€3.2M;€15K;Right;ST;6'2;165lbs
5590;229104;H. Faik;26;Netherlands;SV Zulte-Waregem;https://cdn.sofifa.org/teams/2/light/15005.png;€2.1M;€9K;Left;CM;6'3;172lbs
5591;233201;C. Mepham;20;Wales;Brentford;https://cdn.sofifa.org/teams/2/light/1925.png;€2.5M;€15K;Right;LCB;6'3;165lbs
5592;188657;D. Rudd;27;England;Preston North End;https://cdn.sofifa.org/teams/2/light/1801.png;€1.6M;€7K;Right;GK;6'3;187lbs
5593;189425;Bruno Gallo;30;Brazil;GD Chaves;https://cdn.sofifa.org/teams/2/light/518.png;€1.6M;€6K;Left;RCM;5'11;172lbs
5594;195313;M. Peybernès;27;France;Real Sporting de Gijón;https://cdn.sofifa.org/teams/2/light/459.png;€1.7M;€5K;Right;CB;6'2;170lbs
5595;201714;D. Böde;31;Hungary;;https://cdn.sofifa.org/flags/23.png;€ 0;€ 0;Right;ST;6'3;187lbs
5596;211954;T. Schröck;25;Germany;FC Ingolstadt 04;https://cdn.sofifa.org/teams/2/light/111239.png;€2M;€12K;Right;CB;6'2;185lbs
5597;213490;I. Brown;21;England;Leeds United;https://cdn.sofifa.org/teams/2/light/8.png;€2.9M;€17K;Right;CAM;6'0;154lbs
5598;226035;J. Morris;23;United States;Seattle Sounders FC;https://cdn.sofifa.org/teams/2/light/111144.png;€2.5M;€5K;Right;ST;6'0;185lbs
5599;183283;J. Taravel;31;France;KSV Cercle Brugge;https://cdn.sofifa.org/teams/2/light/1750.png;€1.2M;€8K;Left;LCB;6'3;187lbs
5600;224756;A. Lusamba;21;France;KSV Cercle Brugge;https://cdn.sofifa.org/teams/2/light/1750.png;€2.8M;€12K;Right;RCM;5'10;163lbs
5601;184820;Felipe;30;Brazil;CD Nacional;https://cdn.sofifa.org/teams/2/light/1891.png;€1.3M;€6K;Right;LCB;6'2;185lbs
5602;190196;Z. Touré;28;Senegal;Trabzonspor;https://cdn.sofifa.org/teams/2/light/436.png;€1.6M;€16K;Right;RCB;6'0;174lbs
5603;193780;I. Hajrović;26;Bosnia Herzegovina;Dinamo Zagreb;https://cdn.sofifa.org/teams/2/light/211.png;€1.9M;€1K;Left;RM;5'10;159lbs
5604;199413;T. Kempe;29;Germany;SV Darmstadt 98;https://cdn.sofifa.org/teams/2/light/110502.png;€1.7M;€12K;Right;RDM;6'0;170lbs
5605;214005;V. Giraldo;32;Colombia;Independiente Santa Fe;https://cdn.sofifa.org/teams/2/light/101104.png;€975K;€3K;Right;RB;5'10;163lbs
5606;208374;A. Wooten;28;United States;SV Sandhausen;https://cdn.sofifa.org/teams/2/light/110178.png;€1.8M;€5K;Right;LS;6'1;187lbs
5607;221430;U. Đurđević;24;Serbia;Real Sporting de Gijón;https://cdn.sofifa.org/teams/2/light/459.png;€2.4M;€6K;Right;ST;6'0;181lbs
5608;156662;A. Bastía;39;Argentina;Club Atlético Colón;https://cdn.sofifa.org/teams/2/light/110406.png;€120K;€5K;Right;CDM;5'10;163lbs
5609;168950;S. Allagui;32;Tunisia;FC St. Pauli;https://cdn.sofifa.org/teams/2/light/110329.png;€1.4M;€11K;Right;ST;5'10;170lbs
5610;208375;M. Müller;24;Germany;RB Leipzig;https://cdn.sofifa.org/teams/2/light/112172.png;€1.7M;€15K;Right;GK;6'4;198lbs
5611;219127;P. Galdames;21;Chile;Vélez Sarsfield;https://cdn.sofifa.org/teams/2/light/101088.png;€2.8M;€7K;Right;CM;5'9;150lbs
5612;214776;O. Benítez;25;Argentina;Argentinos Juniors;https://cdn.sofifa.org/teams/2/light/111019.png;€2.2M;€7K;Right;RW;6'0;185lbs
5613;238072;E. Löwen;21;Germany;1. FC Nürnberg;https://cdn.sofifa.org/teams/2/light/171.png;€2.5M;€9K;Right;CDM;6'2;201lbs
5614;175608;A. Fathi;33;Egypt;;https://cdn.sofifa.org/flags/111.png;€ 0;€ 0;Right;RB;5'9;168lbs
5615;193528;I. Sylla;27;Guinea;Queens Park Rangers;https://cdn.sofifa.org/teams/2/light/15.png;€1.9M;€7K;Left;ST;6'1;161lbs
5616;142329;A. Tziolis;33;Greece;Al Fayha;https://cdn.sofifa.org/teams/2/light/113057.png;€725K;€11K;Right;CB;6'3;198lbs
5617;213497;J. Une Larsson;24;Sweden;Djurgårdens IF;https://cdn.sofifa.org/teams/2/light/710.png;€2M;€3K;Right;RB;5'11;163lbs
5618;235257;Pedro Pinto;23;Portugal;Vitória de Setúbal;https://cdn.sofifa.org/teams/2/light/665.png;€2M;€3K;Right;CB;6'2;172lbs
5619;195065;G. Hairemans;26;Belgium;Royal Antwerp FC;https://cdn.sofifa.org/teams/2/light/230.png;€2.1M;€7K;Left;CAM;6'0;168lbs
5620;222970;E. Oztumer;27;England;Bolton Wanderers;https://cdn.sofifa.org/teams/2/light/4.png;€2M;€7K;Left;CAM;5'3;132lbs
5621;223994;S. Mugoša;26;Montenegro;Incheon United FC;https://cdn.sofifa.org/teams/2/light/110765.png;€2.2M;€4K;Right;ST;6'2;176lbs
5622;225530;O. Oularé;22;Belgium;Standard de Liège;https://cdn.sofifa.org/teams/2/light/232.png;€2.5M;€25K;Right;ST;6'5;218lbs
5623;164858;T. Sparv;31;Finland;FC Midtjylland;https://cdn.sofifa.org/teams/2/light/1516.png;€1.5M;€13K;Left;CM;6'4;185lbs
5624;240122;Matheus;26;Brazil;Royal Antwerp FC;https://cdn.sofifa.org/teams/2/light/230.png;€1.8M;€7K;Left;CB;6'4;194lbs
5625;192250;M. Jurman;28;Australia;Al Ittihad;https://cdn.sofifa.org/teams/2/light/607.png;€1.4M;€19K;Left;LCB;6'3;192lbs
5626;210171;F. Malbašić;25;Serbia;CD Tenerife;https://cdn.sofifa.org/teams/2/light/260.png;€2.3M;€7K;Right;RS;6'0;174lbs
5627;237819;N. Domínguez;20;Argentina;Vélez Sarsfield;https://cdn.sofifa.org/teams/2/light/101088.png;€3.1M;€7K;Right;LCM;5'10;161lbs
5628;181499;J. Ramaré;34;France;Valenciennes FC;https://cdn.sofifa.org/teams/2/light/110456.png;€550K;€4K;Right;RDM;5'11;163lbs
5629;203004;Yang Han Been;26;Korea Republic;FC Seoul;https://cdn.sofifa.org/teams/2/light/982.png;€1.5M;€4K;Right;GK;6'5;198lbs
5630;209660;S. Magnasco;25;Chile;Universidad Católica;https://cdn.sofifa.org/teams/2/light/110975.png;€1.7M;€6K;Right;RB;5'9;159lbs
5631;224508;L. Mancuso;26;Italy;Pescara;https://cdn.sofifa.org/teams/2/light/200.png;€2.1M;€47K;Right;LW;6'0;170lbs
5632;178684;Nuno André Coelho;32;Portugal;GD Chaves;https://cdn.sofifa.org/teams/2/light/518.png;€1M;€6K;Right;CB;6'4;181lbs
5633;186876;E. Ambrose;29;Nigeria;Hibernian;https://cdn.sofifa.org/teams/2/light/81.png;€1.4M;€5K;Right;RCB;6'3;154lbs
5634;204030;S. Kitsiou;24;Greece;PAOK;https://cdn.sofifa.org/teams/2/light/393.png;€1.9M;€1K;Right;RB;5'8;154lbs
5635;230398;Eltson Marques;26;Brazil;Internacional;https://cdn.sofifa.org/teams/2/light/1048.png;€1.5M;€13K;Right;CB;6'2;194lbs
5636;231423;C. De Norre;21;Belgium;Sint-Truidense VV;https://cdn.sofifa.org/teams/2/light/680.png;€2.8M;€5K;Right;LM;5'9;159lbs
5637;188671;Eloi Amagat;33;Spain;New York City FC;https://cdn.sofifa.org/teams/2/light/112828.png;€1M;€5K;Right;CM;6'0;159lbs
5638;208384;R. Abdullah;24;Comoros;Waasland-Beveren;https://cdn.sofifa.org/teams/2/light/110913.png;€1.2M;€5K;Right;CDM;5'11;165lbs
5639;227840;M. Ordóñez;28;Colombia;Atlético Huila;https://cdn.sofifa.org/teams/2/light/112528.png;€950K;€2K;Left;RCM;5'11;165lbs
5640;235008;L. Robertone;21;Argentina;Vélez Sarsfield;https://cdn.sofifa.org/teams/2/light/101088.png;€1.7M;€6K;Right;CAM;5'8;154lbs
5641;236288;I. Mathew;21;Nigeria;Lillestrøm SK;https://cdn.sofifa.org/teams/2/light/299.png;€1.6M;€2K;Right;RCM;5'8;154lbs
5642;177152;P. Velthuizen;31;Netherlands;AZ Alkmaar;https://cdn.sofifa.org/teams/2/light/1906.png;€650K;€6K;Right;GK;6'2;194lbs
5643;182528;K. Erasmus;27;South Africa;Vitória de Setúbal;https://cdn.sofifa.org/teams/2/light/665.png;€1.1M;€4K;Right;ST;5'6;139lbs
5644;199169;K. Mokotjo;27;South Africa;Brentford;https://cdn.sofifa.org/teams/2/light/1925.png;€1.2M;€19K;Right;RDM;5'9;159lbs
5645;192001;C. Guzmán;24;Mexico;Monarcas Morelia;https://cdn.sofifa.org/teams/2/light/1028.png;€1.2M;€4K;Right;RB;5'10;154lbs
5646;193537;A. Fink;30;Germany;Karlsruher SC;https://cdn.sofifa.org/teams/2/light/1832.png;€1M;€5K;Right;RS;5'9;163lbs
5647;208898;D. Łukasik;27;Poland;Lechia Gdańsk;https://cdn.sofifa.org/teams/2/light/111091.png;€875K;€4K;Right;CDM;5'10;161lbs
5648;214274;J. Chunga;26;Colombia;Junior FC;https://cdn.sofifa.org/teams/2/light/101101.png;€925K;€2K;Right;GK;5'11;176lbs
5649;215810;C. Lombardi;22;Italy;Lazio;https://cdn.sofifa.org/teams/2/light/46.png;€1.4M;€19K;Right;LW;5'11;165lbs
5650;229890;E. Hackman;23;Ghana;Portimonense SC;https://cdn.sofifa.org/teams/2/light/10031.png;€1.2M;€4K;Right;RB;6'2;168lbs
5651;235522;Aleix Febas;22;Spain;Albacete BP;https://cdn.sofifa.org/teams/2/light/1854.png;€1.6M;€44K;Right;RDM;5'8;141lbs
5652;233731;A. Isak;18;Sweden;Borussia Dortmund;https://cdn.sofifa.org/teams/2/light/22.png;€2.2M;€11K;Right;ST;6'3;163lbs
5653;179971;R. Munsy;28;DR Congo;BB Erzurumspor;https://cdn.sofifa.org/teams/2/light/749.png;€1.1M;€9K;Right;ST;6'2;198lbs
5654;190979;E. Hussain;25;Norway;Molde FK;https://cdn.sofifa.org/teams/2/light/417.png;€1.4M;€4K;Left;RCM;5'9;152lbs
5655;192259;Magno;30;Brazil;Jeju United FC;https://cdn.sofifa.org/teams/2/light/1478.png;€1M;€4K;Right;ST;5'10;170lbs
5656;202756;N. Bodurov;32;Bulgaria;;https://cdn.sofifa.org/flags/9.png;€ 0;€ 0;Right;LCB;5'11;163lbs
5657;216836;Álvaro Peña;26;Spain;AD Alcorcón;https://cdn.sofifa.org/teams/2/light/100831.png;€1.2M;€5K;Right;CAM;5'10;152lbs
5658;233476;B. Riveros;20;Paraguay;FC Basel 1893;https://cdn.sofifa.org/teams/2/light/896.png;€2.1M;€8K;Left;LB;5'10;150lbs
5659;214533;J. Villota;26;Colombia;Deportivo Pasto;https://cdn.sofifa.org/teams/2/light/111723.png;€1.3M;€1K;Right;CAM;5'7;152lbs
